,date,lat,lon,tree_id,diam_app,height_app,species,height_url,diam_url,parcel_id,TID,circ,diam,distance,angle,height_in,BasalArea,angle_rad,angle_deg,height_ft,height,method,site
0,2022-05-12 23:03:18.691000+00:00,37.384928867840209,-80.100385381540661,B19C9067-1ED9-4EF0-A10B-956A1248B27E,7.119278609752655,367.84307956695557,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FD68AC265-E3BC-4F2B-A84D-9AEB43C8BC70.png?alt=media&token=517aadbd-f772-4a1f-b635-f543c995d06b,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F77139766-FD6F-4429-BD3C-9640A1E7DB10.png?alt=media&token=f83f8438-25d7-4d25-b7bf-a11841f8e210,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A1,10.75,8.691451442248406,13.5,64.0,,,0.5693131911006619,32.61924307119283,14.015000000000002,427.1772000000001,manual_0,catawba
1,2022-05-12 23:04:46.039000+00:00,37.384884111755504,-80.100378204547866,07CF439E-1A1A-4567-AFB7-B8AD5AB25574,4.594769328832626,270.77019214630127,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F82DDCB72-1FD2-4DB0-AC42-F98966C73859.png?alt=media&token=9f300e4e-55d1-4337-a713-f979c374d70e,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F28FF0D5D-4429-4B65-87CA-55980283DCCF.png?alt=media&token=72970fb4-6e30-434d-a9f1-4988402e3cd5,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A2,7.25,5.861676554074506,8.0,43.0,,,0.40609805831761564,23.26770481005695,8.815,268.6812,manual_0,catawba
2,2022-05-12 23:06:50.887000+00:00,37.384882070397026,-80.100346492397847,682F1558-871E-419D-9070-6F789DC375B0,2.1356774494051933,127.1755576133728,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F2D191142-AFD5-4DB0-AD18-AB12A1595351.png?alt=media&token=cabb1313-c6d2-4352-a48f-f5edf63e5180,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FDA9D5B78-61EE-43E2-92CD-6BF073543640.png?alt=media&token=4e8afe29-e4dd-4af2-9012-c62274f8c08b,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A3,4.25,3.4361552213540203,,,53.0,,,,,134.62,manual_0,catawba
3,2022-05-12 23:09:02.046000+00:00,37.384682348964162,-80.10040255270907,6EFECC85-B84C-4A1F-9D4A-54219A8FB1A8,1.7602436244487765,198.1414556503296,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F0BCCF8FD-DCD7-4DC7-A048-3FB8C597053C.png?alt=media&token=65868927-cb51-409d-a282-6c8ee1514b47,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F722B706C-6C5A-4E28-9BE9-C7A1AB727718.png?alt=media&token=ff4d79ea-7a84-4beb-825a-8c1dd2ee01ef,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A4,3.0,2.4255213327204848,,,81.0,,,,,205.74,manual_0,catawba
4,2022-05-12 23:10:38.393000+00:00,37.3848461683055,-80.100321566897293,AD166740-8B22-4CEE-8860-F218EC71AA0A,2.7055302634835243,201.3449192047119,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FF8F1B4D2-7EF0-4005-952E-2F20C8DDC24A.png?alt=media&token=ab571ad4-ee35-4e23-8cd2-8cddd67c3649,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FE2EE702A-3AA2-4B74-8AEB-F69138762AEB.png?alt=media&token=1a4aea96-f76d-4418-bd69-da6139f6a191,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A5,2.75,2.223394554993778,4.0,21.0,,,0.206992194219821,11.859779120947978,6.215,189.4332,manual_0,catawba
5,2022-05-12 23:11:57.280000+00:00,37.384798815508731,-80.100309094488708,E2904A05-3E1F-480D-BFD7-C644E2DDF902,2.833467349410057,212.80004978179932,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F71F13D87-B800-4F04-BDE7-6F9FBA7CEE89.png?alt=media&token=83788ecb-da9a-452c-b745-4eb7756334c1,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F536823B4-176B-4A1D-AD09-A7BC481A9998.png?alt=media&token=8414a2ed-3e2a-453f-b811-2a405ca0b3bb,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A6,3.5,2.8297748881738993,5.0,25.0,,,0.24497866312686414,14.036243467926479,6.625,201.93,manual_0,catawba
6,2022-05-12 23:16:05.804000+00:00,37.384770526585527,-80.100299203842965,D1E8680F-0D92-45A7-8088-3FB2B816E88A,9.43354368209839,400.3645896911621,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FA77300BF-7804-48CA-8FCB-1211CC56CB6A.png?alt=media&token=f1bedc2a-6eec-464a-9145-8949fd27c8d5,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F00E6466B-FA1A-44AD-943E-22550C55A396.png?alt=media&token=470c73ab-f738-4905-b1df-d9c1a04ce207,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A7,13.5,10.914845997242182,13.0,62.0,,,0.5549957273385867,31.79891282429442,13.434999999999999,409.4987999999999,manual_0,catawba
7,2022-05-12 23:19:21.594000+00:00,37.384775764201429,-80.100270957538754,A8E61A37-7C33-4587-9951-72CEC44CB45F,6.270094960927963,375.1415967941284,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F189024EF-3BF2-4DC9-8B1E-9508848AC30D.png?alt=media&token=93756ce9-0771-49d7-ab6f-c111a94cfd4e,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F8550A758-987B-4AEE-8A86-4E1F7662030A.png?alt=media&token=238aa82b-42f7-49c1-acb6-7b564b6c1308,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A8,8.75,7.074437220434748,10.0,75.0,,,0.6435011087932844,36.86989764584402,12.875,392.43,manual_0,catawba
8,2022-05-12 23:20:39.964000+00:00,37.384722204913871,-80.10024765513846,831D642C-CE44-439A-89C1-DDB51A0C46E3,3.2112397253513336,225.69165229797363,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F808691DD-A52A-4B51-8C5F-2428EEE48A29.png?alt=media&token=512348a0-0818-41b8-af7a-70a4e2d0c588,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FD05B8612-DEA5-4238-8558-0994019DB4B0.png?alt=media&token=940e60c8-5de4-4b21-9a4a-334fe087f9d5,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A9,4.75,3.8404087768074344,7.0,21.0,,,0.206992194219821,11.859779120947978,6.845,208.6356,manual_0,catawba
9,2022-05-12 23:22:27.368000+00:00,37.384697310661458,-80.100257461965171,B6FD47A6-6814-41AB-B238-48620DC28793,1.2102884240448475,171.97771072387695,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F5748D3EB-2E27-4B03-862C-C0E55211EB7B.png?alt=media&token=a2d330be-fecd-472f-9c05-3e5e1b4dbafd,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F9D61127D-3BE4-4D7B-B3AA-57A54ADF1D1B.png?alt=media&token=bf5b8c39-540a-4f07-b6c6-34ab20591144,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A10,2.25,1.8191409995403638,,,69.5,,,,,176.53,manual_0,catawba
10,2022-05-12 23:24:49.631000+00:00,37.3846886773012,-80.100238937959162,B167BA40-3041-4C54-8D69-C75EF9BBEE69,4.349033907055855,237.98050880432132,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FFF6CE105-4F9D-45B3-BDF6-53AA6A0FB7DA.png?alt=media&token=de4ed3ba-2c11-4c03-8394-12bd08cbfe58,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FD3E83592-D7BC-488D-9DA1-1C080C331FA9.png?alt=media&token=b15cd366-b0f7-4e2b-98f2-2e2c67503e0d,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A11,4.75,3.8404087768074344,10.0,27.0,,,0.26371183446226615,15.109575122340466,8.075000000000001,246.126,manual_0,catawba
11,2022-05-12 23:26:15.001000+00:00,37.384653269414713,-80.100222596960961,4E60B5C9-2CC1-4EB3-A8E4-5EC0810D1A11,3.700331225991249,249.4328022003174,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F93A5C4BF-3A2C-4524-BF70-2B8D81487A76.png?alt=media&token=3331f88a-ed11-4376-a740-6e963b1f7ebb,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F7F2FDF84-4B68-496B-A94A-3AE1D4E83855.png?alt=media&token=72c5eaa9-5e21-4239-874f-870e6ff6a84f,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A12,5.75,4.648915887714263,10.0,35.0,,,0.3366748193867272,19.290046219188735,8.875,270.51,manual_0,catawba
12,2022-05-12 23:28:05.527000+00:00,37.384643917938121,-80.100307166650978,92526F73-D28B-4446-9A4C-E1D7185CF136,2.8985047712922096,250.91981887817383,Black Walnut,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F95D66E32-3200-4109-817C-16C5AA9C89A8.png?alt=media&token=a9c4a80f-9e36-4c24-a707-71631d80a277,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F1E43AC00-8B7D-4C46-AAA2-74543E09EDE3.png?alt=media&token=f15baa71-bfa3-4381-aae5-9681ab81c1f2,BDB47999-95D1-4967-BDC4-6A4D43138D5F,A13,4.5,3.6382819990807276,8.0,27.0,,,0.26371183446226615,15.109575122340466,7.535,229.6668,manual_0,catawba
